cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__ohe__drop,rank_test_precision_weighted,holdout_rank_f1_weighted
41,0.9371699246389463,No,0.9446468651233964,0.9490506644568675,8.41494698524475,0.9421243780316816,9.064850091367628,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.406336677771817e-06,183,0.46,1.0719830503870144e-06,0,if_binary,53,1
52,0.9360971075515291,No,0.9418851043903398,0.947741357621978,9.692718553543092,0.9411115173257087,2.934152756500074,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,5.246634533625283e-05,151,0.52,2.4960146343842466e-06,0.002,if_binary,67,2
49,0.9362918568527535,No,0.9417933921692294,0.9475062193590333,8.996484804153443,0.9414017780194,9.327658220954744,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,7.5499285461830315e-06,199,0.46,8.528987369769706e-07,0.0035,if_binary,64,3
55,0.935460239161469,No,0.940848544466396,0.9473343441795276,8.520438241958619,0.9407661616136057,5.306768150789539,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.997206819121806e-06,193,0.44,1.569367855073698e-06,0.002,if_binary,71,4
50,0.9362772277387323,No,0.9401194826290082,0.9472471481544557,10.030602025985718,0.9416672829232884,2.207689218110516,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,5.437904873657084e-06,199,0.52,2.7352833905849033e-06,0.0025,if_binary,60,5
25,0.9379658199621016,No,0.9416391277120425,0.9471485261618074,8.545867919921875,0.9410051609069194,12.383932905352319,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,4.8000873319843885e-06,195,0.44,2.800260519816052e-06,0.002,if_binary,68,6
34,0.9376446463066468,No,0.9427156750340878,0.947052057198116,8.405876779556275,0.9406618871168495,3.3851395111834925,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.1207606211860566e-05,188,0.44,1.6693298027163673e-06,0.0025,if_binary,73,7
45,0.9366283270191118,No,0.9429344900015859,0.9468897354120505,9.978072929382325,0.9417872757873239,2.340269368402017,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,9.134045432215854e-05,196,0.52,2.1159604283719645e-06,0,if_binary,57,8
39,0.9374042860302207,No,0.9408606422655723,0.9465180020974315,9.273012781143189,0.9415495425155033,0.2434542396201692,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,8.288916866885141e-06,197,0.5,1.1476303634961336e-06,0.0025,if_binary,61,9
40,0.9373546005729555,No,0.9414756285865036,0.9463453900032498,8.790171051025391,0.9420807037124781,0.6518413863813439,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.66351894426084e-06,197,0.44,1.065492617772498e-06,0.0035,if_binary,54,10
24,0.9379981200442208,No,0.9408552704448634,0.9462558364266079,9.371057558059693,0.9427620446614119,0.8636168226810214,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.1437522183928352e-06,163,0.48,1.5182961949651393e-06,0.002,if_binary,41,11
