cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision,holdout_rank_f1
10,0.7228527502555859,No,0.7499999999999999,0.7601626016260162,5.4181129932403564,0.6552032355331809,59.1899732065163,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,4.102394806326999e-05,213,0.45,1.6146177989024036e-06,0,2,if_binary,28,1
19,0.715871161262881,No,0.7259832366215345,0.7543520309477756,7.82309103012085,0.6260501450332965,86.49877558976387,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.397587357788839e-05,172,0.5,1.501801200736041e-06,0.0075,2,if_binary,37,2
22,0.7132372061254807,No,0.7263427109974424,0.7537878787878788,7.461387014389038,0.6206309085885653,70.17871794542845,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,4.566413282768433e-05,255,0.45,1.0636811515968713e-05,0.0075,2,if_binary,40,3
16,0.7167269978840359,No,0.7241597970830691,0.7519083969465649,4.880034399032593,0.6232871349321998,75.71172407275084,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.426500754032407e-05,286,0.4,3.841147001184422e-06,0.005,2,if_binary,39,4
20,0.714984917171223,No,0.7240506329113924,0.7471698113207548,7.155921792984008,0.6237188161064682,9.321011219596505,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,8.168752430682919e-06,174,0.4,2.112725104371141e-06,0.0075,2,if_binary,38,5
2,0.7296341796341796,No,0.7362784471218207,0.745417515274949,0.6710508346557618,0.6601941300458757,14.415566241390795,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.8288974338290125e-05,172,0.475,6.142910560353152e-06,0.0025,1,if_binary,23,6
14,0.7193358550508377,No,0.7435085497150093,0.7442748091603053,4.526859998703003,0.6269602354703532,0.43107987172149653,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.4415420182947357e-06,269,0.45,2.5286452377904955e-06,0,2,if_binary,36,7
23,0.7111330912664408,No,0.7372307692307692,0.7421150278293136,5.215123653411865,0.6046053830747153,65.14965892822939,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.4564523313236442e-05,215,0.42500000000000004,3.199085217642664e-06,0,2,if_binary,43,8
40,0.7005914715624784,No,0.7219512195121951,0.740875912408759,8.25004620552063,0.5864428318737023,6.113711989696273,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.6218886565915997e-05,273,0.475,2.1627343192792156e-05,0.0075,2,if_binary,50,9
45,0.6985423122056783,No,0.7306763285024155,0.7395264116575592,5.020835638046265,0.5837526910259312,20.71482213583095,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.7188284727410146e-05,250,0.4,1.6108442133746292e-06,0,2,if_binary,51,10
25,0.7106854836021337,No,0.7167980594299574,0.7393715341959334,0.8575641632080078,0.600651417550954,1.0223447688070497,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.7393301621339735e-06,211,0.5,8.94503027356336e-06,0.0025,1,if_binary,44,11
28,0.7054863146819503,No,0.72,0.738970588235294,0.6873210906982422,0.592684775410083,2.0572281718867225,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,8.690451474497338e-05,270,0.4,1.5243762196120837e-05,0.005,1,if_binary,46,12
37,0.7007142236088598,No,0.7066508313539192,0.7387387387387389,6.2645430088043215,0.5810754391308762,0.07759781196625318,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.1038651610875236e-06,186,0.4,2.6449559504182426e-06,0.0025,2,if_binary,52,13
17,0.716126550393431,No,0.7272727272727273,0.7386363636363636,0.6748680591583252,0.6183331671593388,58.66913634684712,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,4.803592685029505e-06,263,0.4,4.950399250495831e-06,0.005,1,if_binary,41,14
3,0.7260979884225527,No,0.7322623828647926,0.7372708757637475,7.472974109649658,0.6613539038118363,1.321410749812451,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.9172337751979366e-06,152,0.45,1.3587524763669739e-05,0.0075,2,if_binary,22,15
33,0.7037210562336057,No,0.7169583584791792,0.7368421052631579,6.949611330032349,0.5902699344067693,0.652007825594011,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.9642281776943745e-06,143,0.5,4.391205871433089e-05,0.0025,2,if_binary,47,16
30,0.7043709755007604,No,0.717948717948718,0.7349177330895795,0.6845309257507324,0.5961798130067828,9.15186552355298,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,7.940004571175958e-06,299,0.475,9.885297748084933e-07,0.0075,1,if_binary,45,17
49,0.6954865098677525,No,0.7115839243498817,0.7340425531914893,0.6537211894989013,0.5715661853109514,0.39628558298221206,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,4.341448299533216e-06,255,0.42500000000000004,1.0461188057912223e-05,0.005,1,if_binary,59,18
